"productkey","orderdatekey","customerkey","totalproductcost","salesamount"
368,"20210124",12921,"? 1,518.79","2443.35"
325,"20210124",20592,"? 486.71","782.99"
370,"20210124",13086,"? 1,518.79","2443.35"
369,"20210124",28659,"? 1,518.79","2443.35"
356,"20210124",26120,"? 1,117.86","2071.42"
354,"20210124",26183,"? 1,117.86","2071.42"
333,"20210124",15189,"? 486.71","782.99"
368,"20210124",21179,"? 1,518.79","2443.35"
369,"20210124",21205,"? 1,518.79","2443.35"
381,"20210125",13999,"? 605.65","1000.44"
375,"20210125",21194,"? 1,320.68","2181.56"
375,"20210125",21203,"? 1,320.68","2181.56"
375,"20210125",21000,"? 1,320.68","2181.56"
354,"20210125",12353,"? 1,117.86","2071.42"
387,"20210126",17080,"? 605.65","1000.44"
375,"20210126",16053,"? 1,320.68","2181.56"
368,"20210126",12950,"? 1,518.79","2443.35"
368,"20210126",13087,"? 1,518.79","2443.35"
370,"20210126",21189,"? 1,518.79","2443.35"
379,"20210126",20998,"? 1,320.68","2181.56"
331,"20210127",20710,"? 486.71","782.99"
377,"20210127",24832,"? 1,320.68","2181.56"
377,"20210127",13177,"? 1,320.68","2181.56"
375,"20210127",13212,"? 1,320.68","2181.56"
356,"20210127",26245,"? 1,117.86","2071.42"
362,"20210127",26276,"? 1,105.81","2049.10"
329,"20210127",15196,"? 486.71","782.99"
371,"20210127",21202,"? 1,320.68","2181.56"
343,"20210127",26022,"? 486.71","782.99"
362,"20210127",11481,"? 1,105.81","2049.10"
362,"20210128",11609,"? 1,105.81","2049.10"
371,"20210128",15454,"? 1,320.68","2181.56"
368,"20210128",13088,"? 1,518.79","2443.35"
369,"20210128",13176,"? 1,518.79","2443.35"
375,"20210128",13203,"? 1,320.68","2181.56"
373,"20210128",21165,"? 1,320.68","2181.56"
377,"20210128",21169,"? 1,320.68","2181.56"
362,"20210128",12348,"? 1,105.81","2049.10"
356,"20210128",12358,"? 1,117.86","2071.42"
370,"20210129",13246,"? 1,518.79","2443.35"
383,"20210129",14017,"? 605.65","1000.44"
387,"20210129",14025,"? 605.65","1000.44"
369,"20210129",15667,"? 1,518.79","2443.35"
341,"20210129",20062,"? 486.71","782.99"
369,"20210129",25287,"? 1,518.79","2443.35"
362,"20210129",26293,"? 1,105.81","2049.10"
360,"20210129",12685,"? 1,105.81","2049.10"
362,"20210129",12588,"? 1,105.81","2049.10"
369,"20210130",16329,"? 1,518.79","2443.35"
375,"20210130",13248,"? 1,320.68","2181.56"
375,"20210130",13359,"? 1,320.68","2181.56"
360,"20210130",26302,"? 1,105.81","2049.10"
341,"20210130",15203,"? 486.71","782.99"
323,"20210130",15254,"? 486.71","782.99"
329,"20210130",15288,"? 486.71","782.99"
370,"20210130",21561,"? 1,518.79","2443.35"
379,"20210131",16311,"? 1,320.68","2181.56"
373,"20210131",13378,"? 1,320.68","2181.56"
377,"20210131",13383,"? 1,320.68","2181.56"
369,"20210131",13274,"? 1,518.79","2443.35"
341,"20210131",15284,"? 486.71","782.99"
377,"20210131",21394,"? 1,320.68","2181.56"
354,"20210201",28532,"? 1,117.86","2071.42"
369,"20210201",28802,"? 1,518.79","2443.35"
369,"20210201",13380,"? 1,518.79","2443.35"
377,"20210201",15664,"? 1,320.68","2181.56"
370,"20210201",25095,"? 1,518.79","2443.35"
354,"20210201",26283,"? 1,117.86","2071.42"
370,"20210201",21257,"? 1,518.79","2443.35"
360,"20210201",12667,"? 1,105.81","2049.10"
325,"20210201",26134,"? 486.71","782.99"
360,"20210202",11612,"? 1,105.81","2049.10"
371,"20210202",16260,"? 1,320.68","2181.56"
370,"20210202",13424,"? 1,518.79","2443.35"
368,"20210202",13369,"? 1,518.79","2443.35"
379,"20210202",13279,"? 1,320.68","2181.56"
371,"20210202",13319,"? 1,320.68","2181.56"
369,"20210202",25361,"? 1,518.79","2443.35"
352,"20210203",11616,"? 1,117.86","2071.42"
369,"20210203",13839,"? 1,518.79","2443.35"
375,"20210203",28819,"? 1,320.68","2181.56"
370,"20210203",28850,"? 1,518.79","2443.35"
369,"20210203",25100,"? 1,518.79","2443.35"
356,"20210203",20318,"? 1,117.86","2071.42"
343,"20210203",15255,"? 486.71","782.99"
373,"20210203",21387,"? 1,320.68","2181.56"
370,"20210203",21393,"? 1,518.79","2443.35"
387,"20210203",24611,"? 605.65","1000.44"
354,"20210203",12586,"? 1,117.86","2071.42"
362,"20210203",28541,"? 1,105.81","2049.10"
368,"20210204",16275,"? 1,518.79","2443.35"
381,"20210204",14006,"? 605.65","1000.44"
375,"20210204",28832,"? 1,320.68","2181.56"
371,"20210204",13362,"? 1,320.68","2181.56"
371,"20210204",25408,"? 1,320.68","2181.56"
371,"20210204",13384,"? 1,320.68","2181.56"
375,"20210204",13325,"? 1,320.68","2181.56"
371,"20210204",13326,"? 1,320.68","2181.56"
371,"20210204",21258,"? 1,320.68","2181.56"
368,"20210204",21556,"? 1,518.79","2443.35"
352,"20210204",12677,"? 1,117.86","2071.42"
375,"20210205",16406,"? 1,320.68","2181.56"
371,"20210205",13243,"? 1,320.68","2181.56"
375,"20210205",13283,"? 1,320.68","2181.56"
379,"20210205",13357,"? 1,320.68","2181.56"
354,"20210205",26296,"? 1,117.86","2071.42"
343,"20210205",27027,"? 486.71","782.99"
379,"20210205",21389,"? 1,320.68","2181.56"
371,"20210205",13348,"? 1,320.68","2181.56"
379,"20210206",16308,"? 1,320.68","2181.56"
375,"20210206",13238,"? 1,320.68","2181.56"
356,"20210206",26290,"? 1,117.86","2071.42"
371,"20210206",21225,"? 1,320.68","2181.56"
369,"20210206",21230,"? 1,518.79","2443.35"
362,"20210206",12684,"? 1,105.81","2049.10"
343,"20210206",26033,"? 486.71","782.99"
339,"20210206",26131,"? 486.71","782.99"
389,"20210207",18133,"? 605.65","1000.44"
375,"20210207",13324,"? 1,320.68","2181.56"
377,"20210207",21259,"? 1,320.68","2181.56"
360,"20210207",12669,"? 1,105.81","2049.10"
370,"20210208",15625,"? 1,518.79","2443.35"
370,"20210208",25363,"? 1,518.79","2443.35"
360,"20210208",28547,"? 1,105.81","2049.10"
321,"20210208",26024,"? 486.71","782.99"
335,"20210208",26133,"? 486.71","782.99"
370,"20210209",13801,"? 1,518.79","2443.35"
373,"20210209",28837,"? 1,320.68","2181.56"
369,"20210209",25864,"? 1,518.79","2443.35"
360,"20210209",26280,"? 1,105.81","2049.10"
362,"20210209",26300,"? 1,105.81","2049.10"
369,"20210209",21403,"? 1,518.79","2443.35"
375,"20210209",21408,"? 1,320.68","2181.56"
371,"20210209",21418,"? 1,320.68","2181.56"
362,"20210209",12671,"? 1,105.81","2049.10"
360,"20210210",12123,"? 1,105.81","2049.10"
370,"20210210",15649,"? 1,518.79","2443.35"
368,"20210210",15656,"? 1,518.79","2443.35"
375,"20210210",13419,"? 1,320.68","2181.56"
377,"20210210",13286,"? 1,320.68","2181.56"
352,"20210210",26281,"? 1,117.86","2071.42"
377,"20210210",21228,"? 1,320.68","2181.56"
373,"20210210",21552,"? 1,320.68","2181.56"
352,"20210210",12668,"? 1,117.86","2071.42"
356,"20210210",12675,"? 1,117.86","2071.42"
354,"20210210",12584,"? 1,117.86","2071.42"
368,"20210210",13812,"? 1,518.79","2443.35"
358,"20210211",11492,"? 1,105.81","2049.10"
381,"20210211",14022,"? 605.65","1000.44"
383,"20210211",14026,"? 605.65","1000.44"
377,"20210211",28848,"? 1,320.68","2181.56"
370,"20210211",13287,"? 1,518.79","2443.35"
368,"20210211",13329,"? 1,518.79","2443.35"
354,"20210211",26298,"? 1,117.86","2071.42"
335,"20210211",15200,"? 486.71","782.99"
379,"20210211",21380,"? 1,320.68","2181.56"
356,"20210211",12133,"? 1,117.86","2071.42"
371,"20210212",13806,"? 1,320.68","2181.56"
385,"20210212",18134,"? 605.65","1000.44"
389,"20210212",19253,"? 605.65","1000.44"
373,"20210212",28818,"? 1,320.68","2181.56"
369,"20210212",25892,"? 1,518.79","2443.35"
379,"20210212",13382,"? 1,320.68","2181.56"
371,"20210212",16328,"? 1,320.68","2181.56"
329,"20210212",20162,"? 486.71","782.99"
377,"20210212",13269,"? 1,320.68","2181.56"
371,"20210212",13355,"? 1,320.68","2181.56"
362,"20210212",26286,"? 1,105.81","2049.10"
377,"20210212",21218,"? 1,320.68","2181.56"
370,"20210213",14169,"? 1,518.79","2443.35"
323,"20210213",20051,"? 486.71","782.99"
373,"20210213",13247,"? 1,320.68","2181.56"
356,"20210213",26277,"? 1,117.86","2071.42"
356,"20210213",26285,"? 1,117.86","2071.42"
370,"20210214",25883,"? 1,518.79","2443.35"
377,"20210214",25371,"? 1,320.68","2181.56"
352,"20210214",26301,"? 1,117.86","2071.42"
333,"20210214",15256,"? 486.71","782.99"
337,"20210214",27043,"? 486.71","782.99"
369,"20210214",21359,"? 1,518.79","2443.35"
370,"20210214",21379,"? 1,518.79","2443.35"
389,"20210214",24609,"? 605.65","1000.44"
362,"20210214",12578,"? 1,105.81","2049.10"
360,"20210214",12580,"? 1,105.81","2049.10"
377,"20210215",16287,"? 1,320.68","2181.56"
389,"20210215",19195,"? 605.65","1000.44"
368,"20210215",28836,"? 1,518.79","2443.35"
360,"20210215",26299,"? 1,105.81","2049.10"
375,"20210215",21222,"? 1,320.68","2181.56"
369,"20210215",21361,"? 1,518.79","2443.35"
362,"20210215",12577,"? 1,105.81","2049.10"
358,"20210215",12579,"? 1,105.81","2049.10"
370,"20210216",13823,"? 1,518.79","2443.35"
381,"20210216",26316,"? 605.65","1000.44"
370,"20210216",25875,"? 1,518.79","2443.35"
369,"20210216",15659,"? 1,518.79","2443.35"
375,"20210216",13277,"? 1,320.68","2181.56"
368,"20210216",13314,"? 1,518.79","2443.35"
375,"20210216",25288,"? 1,320.68","2181.56"
375,"20210216",13237,"? 1,320.68","2181.56"
358,"20210216",26295,"? 1,105.81","2049.10"
371,"20210216",21256,"? 1,320.68","2181.56"
362,"20210216",11564,"? 1,105.81","2049.10"
373,"20210217",15627,"? 1,320.68","2181.56"
379,"20210217",16250,"? 1,320.68","2181.56"
389,"20210217",19260,"? 605.65","1000.44"
375,"20210217",16317,"? 1,320.68","2181.56"
385,"20210217",14023,"? 605.65","1000.44"
368,"20210217",28834,"? 1,518.79","2443.35"
370,"20210217",16405,"? 1,518.79","2443.35"
371,"20210217",21384,"? 1,320.68","2181.56"
381,"20210217",24612,"? 605.65","1000.44"
368,"20210217",21559,"? 1,518.79","2443.35"
362,"20210217",28540,"? 1,105.81","2049.10"
339,"20210217",20712,"? 486.71","782.99"
385,"20210218",19193,"? 605.65","1000.44"
375,"20210218",16420,"? 1,320.68","2181.56"
343,"20210218",20713,"? 486.71","782.99"
371,"20210218",13292,"? 1,320.68","2181.56"
375,"20210218",13340,"? 1,320.68","2181.56"
377,"20210218",13346,"? 1,320.68","2181.56"
379,"20210218",21217,"? 1,320.68","2181.56"
377,"20210218",21226,"? 1,320.68","2181.56"
352,"20210218",12676,"? 1,117.86","2071.42"
356,"20210218",12683,"? 1,117.86","2071.42"
333,"20210219",15276,"? 486.71","782.99"
358,"20210219",11561,"? 1,105.81","2049.10"
373,"20210219",16417,"? 1,320.68","2181.56"
368,"20210219",14141,"? 1,518.79","2443.35"
377,"20210219",13298,"? 1,320.68","2181.56"
375,"20210219",13351,"? 1,320.68","2181.56"
375,"20210219",13233,"? 1,320.68","2181.56"
362,"20210219",26305,"? 1,105.81","2049.10"
379,"20210219",21560,"? 1,320.68","2181.56"
358,"20210219",12589,"? 1,105.81","2049.10"
368,"20210220",16410,"? 1,518.79","2443.35"
375,"20210220",13250,"? 1,320.68","2181.56"
377,"20210220",21555,"? 1,320.68","2181.56"
352,"20210220",12674,"? 1,117.86","2071.42"
375,"20210220",21402,"? 1,320.68","2181.56"
362,"20210221",28512,"? 1,105.81","2049.10"
360,"20210221",28519,"? 1,105.81","2049.10"
381,"20210221",18140,"? 605.65","1000.44"
371,"20210221",29013,"? 1,320.68","2181.56"
368,"20210221",13420,"? 1,518.79","2443.35"
370,"20210221",16407,"? 1,518.79","2443.35"
339,"20210221",19076,"? 486.71","782.99"
343,"20210221",15289,"? 486.71","782.99"
371,"20210221",21219,"? 1,320.68","2181.56"
379,"20210221",21404,"? 1,320.68","2181.56"
362,"20210221",12680,"? 1,105.81","2049.10"
352,"20210222",11615,"? 1,117.86","2071.42"
389,"20210222",17099,"? 605.65","1000.44"
381,"20210222",19258,"? 605.65","1000.44"
373,"20210222",15655,"? 1,320.68","2181.56"
368,"20210222",13402,"? 1,518.79","2443.35"
373,"20210222",29135,"? 1,320.68","2181.56"
329,"20210222",19944,"? 486.71","782.99"
375,"20210222",13280,"? 1,320.68","2181.56"
373,"20210222",13353,"? 1,320.68","2181.56"
360,"20210222",26297,"? 1,105.81","2049.10"
368,"20210222",21558,"? 1,518.79","2443.35"
371,"20210223",16318,"? 1,320.68","2181.56"
379,"20210223",13811,"? 1,320.68","2181.56"
385,"20210223",19192,"? 605.65","1000.44"
383,"20210223",18139,"? 605.65","1000.44"
387,"20210223",14005,"? 605.65","1000.44"
385,"20210223",14024,"? 605.65","1000.44"
377,"20210223",13385,"? 1,320.68","2181.56"
371,"20210223",13403,"? 1,320.68","2181.56"
369,"20210223",13425,"? 1,518.79","2443.35"
337,"20210223",20717,"? 486.71","782.99"
358,"20210223",26292,"? 1,105.81","2049.10"
360,"20210223",12670,"? 1,105.81","2049.10"
323,"20210223",26029,"? 486.71","782.99"
379,"20210224",16272,"? 1,320.68","2181.56"
369,"20210224",25393,"? 1,518.79","2443.35"
369,"20210224",28798,"? 1,518.79","2443.35"
335,"20210224",20711,"? 486.71","782.99"
327,"20210224",20718,"? 486.71","782.99"
377,"20210224",13316,"? 1,320.68","2181.56"
354,"20210224",26303,"? 1,117.86","2071.42"
333,"20210224",15252,"? 486.71","782.99"
333,"20210224",15280,"? 486.71","782.99"
373,"20210224",21231,"? 1,320.68","2181.56"
362,"20210224",12673,"? 1,105.81","2049.10"
379,"20210225",13840,"? 1,320.68","2181.56"
369,"20210225",13361,"? 1,518.79","2443.35"
379,"20210225",14154,"? 1,320.68","2181.56"
375,"20210225",13273,"? 1,320.68","2181.56"
370,"20210225",13299,"? 1,518.79","2443.35"
377,"20210225",13315,"? 1,320.68","2181.56"
373,"20210225",13354,"? 1,320.68","2181.56"
343,"20210225",15287,"? 486.71","782.99"
362,"20210226",28529,"? 1,105.81","2049.10"
377,"20210226",13400,"? 1,320.68","2181.56"
373,"20210226",13278,"? 1,320.68","2181.56"
379,"20210226",13288,"? 1,320.68","2181.56"
377,"20210226",13304,"? 1,320.68","2181.56"
360,"20210226",12681,"? 1,105.81","2049.10"
379,"20210227",13367,"? 1,320.68","2181.56"
369,"20210227",16324,"? 1,518.79","2443.35"
333,"20210227",20807,"? 486.71","782.99"
356,"20210227",20350,"? 1,117.86","2071.42"
368,"20210227",21229,"? 1,518.79","2443.35"
369,"20210227",21557,"? 1,518.79","2443.35"
356,"20210227",12581,"? 1,117.86","2071.42"
339,"20210227",26027,"? 486.71","782.99"
354,"20210228",28520,"? 1,117.86","2071.42"
373,"20210228",16277,"? 1,320.68","2181.56"
371,"20210228",15626,"? 1,320.68","2181.56"
369,"20210228",13401,"? 1,518.79","2443.35"
368,"20210228",25104,"? 1,518.79","2443.35"
360,"20210228",26304,"? 1,105.81","2049.10"
379,"20210228",21553,"? 1,320.68","2181.56"
354,"20210228",12686,"? 1,117.86","2071.42"
356,"20210228",12583,"? 1,117.86","2071.42"
360,"20210228",12585,"? 1,105.81","2049.10"
321,"20210228",26025,"? 486.71","782.99"
331,"20210228",26028,"? 486.71","782.99"
321,"20210228",19255,"? 486.71","782.99"
356,"20210228",26320,"? 1,117.86","2071.42"
375,"20210301",15926,"? 1,320.68","2181.56"
373,"20210301",14203,"? 1,320.68","2181.56"
370,"20210301",16461,"? 1,518.79","2443.35"
341,"20210301",15303,"? 486.71","782.99"
381,"20210301",24887,"? 605.65","1000.44"
371,"20210301",13446,"? 1,320.68","2181.56"
329,"20210301",26152,"? 486.71","782.99"
383,"20210302",19301,"? 605.65","1000.44"
358,"20210302",28685,"? 1,105.81","2049.10"
370,"20210302",14539,"? 1,518.79","2443.35"
379,"20210302",13438,"? 1,320.68","2181.56"
369,"20210302",21875,"? 1,518.79","2443.35"
379,"20210302",21893,"? 1,320.68","2181.56"
369,"20210302",21945,"? 1,518.79","2443.35"
352,"20210302",12693,"? 1,117.86","2071.42"
352,"20210303",28560,"? 1,117.86","2071.42"
325,"20210303",20811,"? 486.71","782.99"
331,"20210303",20832,"? 486.71","782.99"
371,"20210303",21568,"? 1,320.68","2181.56"
373,"20210303",21899,"? 1,320.68","2181.56"
370,"20210303",21948,"? 1,518.79","2443.35"
379,"20210304",14424,"? 1,320.68","2181.56"
371,"20210304",16452,"? 1,320.68","2181.56"
371,"20210304",14524,"? 1,320.68","2181.56"
377,"20210304",14538,"? 1,320.68","2181.56"
377,"20210305",16427,"? 1,320.68","2181.56"
379,"20210305",13426,"? 1,320.68","2181.56"
368,"20210305",21888,"? 1,518.79","2443.35"
371,"20210305",21895,"? 1,320.68","2181.56"
369,"20210306",15932,"? 1,518.79","2443.35"
335,"20210306",19181,"? 486.71","782.99"
358,"20210307",28569,"? 1,105.81","2049.10"
373,"20210307",15927,"? 1,320.68","2181.56"
368,"20210307",16196,"? 1,518.79","2443.35"
371,"20210307",16470,"? 1,320.68","2181.56"
370,"20210307",14170,"? 1,518.79","2443.35"
325,"20210307",27071,"? 486.71","782.99"
377,"20210307",21572,"? 1,320.68","2181.56"
369,"20210307",21951,"? 1,518.79","2443.35"
360,"20210307",12214,"? 1,105.81","2049.10"
383,"20210308",19278,"? 605.65","1000.44"
383,"20210308",19299,"? 605.65","1000.44"
360,"20210308",11605,"? 1,105.81","2049.10"
352,"20210308",26307,"? 1,117.86","2071.42"
354,"20210308",26324,"? 1,117.86","2071.42"
333,"20210308",15311,"? 486.71","782.99"
370,"20210308",21892,"? 1,518.79","2443.35"
368,"20210308",21957,"? 1,518.79","2443.35"
352,"20210308",12688,"? 1,117.86","2071.42"
375,"20210309",14200,"? 1,320.68","2181.56"
373,"20210309",16446,"? 1,320.68","2181.56"
368,"20210309",15675,"? 1,518.79","2443.35"
377,"20210309",15684,"? 1,320.68","2181.56"
354,"20210309",26308,"? 1,117.86","2071.42"
362,"20210309",26309,"? 1,105.81","2049.10"
343,"20210309",15308,"? 486.71","782.99"
373,"20210309",21946,"? 1,320.68","2181.56"
